lat,lng,area,cost
55.58605,37.75308,,8831200.0
55.58605,37.75308,,6472770.0
55.58605,37.75308,,6282360.0
55.58605,37.75308,,8964000.0
55.58605,37.75308,,6777540.0
55.58605,37.75308,,6854760.0
55.58605,37.75308,,6041720.0
55.58605,37.75308,,6592600.0
55.58605,37.75308,,9171500.0
55.58605,37.75308,,6581440.0
55.58622,37.75475,,5486250.0
55.58622,37.75475,,7019250.0
55.58622,37.75475,,10109655.0
55.58622,37.75475,,10109655.0
55.58622,37.75475,,5540130.0
55.58622,37.75475,,6619860.0
55.58622,37.75475,,9031955.0
55.58622,37.75475,,7122000.0
55.58622,37.75475,,5567820.0
55.58622,37.75475,,6907950.0
55.58709,37.75352,,5461170.0
55.58709,37.75352,,5546860.0
55.58709,37.75352,,5546860.0
55.58709,37.75352,,6636000.0
55.58709,37.75352,,6787200.0
55.58709,37.75352,,6757850.0
55.58709,37.75352,,8932140.0
55.58709,37.75352,,6714200.0
55.58709,37.75352,,6708420.0
55.58709,37.75352,,5622100.0
55.58709,37.75352,,4999280.0
55.58709,37.75352,,5053620.0
55.58709,37.75352,,6612650.0
55.58709,37.75352,,6474500.0
55.58709,37.75352,,5650700.0
55.58709,37.75352,,8907120.0
55.58709,37.75352,,6641760.0
55.58709,37.75352,,5170660.0
55.58709,37.75352,,5245900.0
55.58709,37.75352,,6697350.0
55.64415,37.70254,,6590000.0
55.61276,37.75116,36.6,17000000.0
55.5559,37.81892,17.1,3700000.0
55.64038,37.85393,12.0,5759040.0
55.64038,37.85393,13.0,5646400.0
55.64038,37.85393,44.0,9263250.0
55.64038,37.85393,44.0,9597350.0
55.64038,37.85393,44.0,9436050.0
55.64038,37.85393,29.0,6602280.0
55.64038,37.85393,29.0,7910840.0
55.64038,37.85393,29.0,8029800.0
55.64038,37.85393,13.0,5752270.0
55.64038,37.85393,13.0,5858140.0
55.64038,37.85393,24.0,7266480.0
55.64038,37.85393,24.0,6732180.0
55.64038,37.85393,25.0,7297420.0
55.64038,37.85393,25.0,7986940.0
55.64038,37.85393,13.0,6366360.0
55.64038,37.85393,13.0,5332860.0
55.64038,37.85393,26.0,7730480.0
55.64038,37.85393,12.0,4799200.0
55.64038,37.85393,12.0,5759040.0
55.64038,37.85393,12.0,5381960.0
55.64038,37.85393,12.0,5724760.0
55.64038,37.85393,12.0,5724760.0
55.64038,37.85393,12.0,6251150.0
55.64038,37.85393,28.0,7077330.0
55.64038,37.85393,28.0,7863700.0
55.64038,37.85393,28.0,7863700.0
55.64038,37.85393,13.0,5752270.0
55.64038,37.85393,17.1,4883790.0
55.64038,37.85393,17.0,4319190.0
55.64038,37.85393,17.1,4883790.0
55.64038,37.85393,17.1,4883790.0
55.64038,37.85393,17.0,4883790.0
55.64038,37.85393,29.0,7910840.0
55.64038,37.85393,27.0,7425690.0
55.64038,37.85393,17.0,4845120.0
55.64038,37.85393,17.0,4883790.0
55.64038,37.85393,17.1,4883790.0
55.64038,37.85393,17.0,4883790.0
55.64038,37.85393,15.0,5968000.0
55.64038,37.85393,15.0,5706900.0
55.64038,37.85393,15.0,5595000.0
55.64038,37.85393,15.0,5968000.0
55.64038,37.85393,40.0,9278400.0
55.53428,37.63815,,4823653.0
55.53428,37.63815,,4276387.0
55.53428,37.63815,,4427763.0
55.53428,37.63815,,4404939.0
55.53428,37.63815,,4441273.0
55.55835,37.82143,14.9,5100000.0
55.66309,37.85334,10.1,5854800.0
55.66075,37.732,21.0,10875360.0
55.66363,37.73244,52.6,12342400.0
55.66472,37.73383,9.1,6805200.0
55.66472,37.73383,19.2,7129410.0
55.63953,37.8486,14.0,4080000.0
55.66528,37.73732,17.1,4996850.0
55.56057,37.70783,27.1,5500000.0
55.58605,37.75308,,5936490.0
55.63964,37.85222,14.0,6200840.0
55.64008,37.85268,14.0,5331210.0
55.63964,37.85222,16.6,5076560.0
55.63964,37.85222,26.0,7396480.0
55.63964,37.85222,29.0,7355380.0
55.63964,37.85222,29.0,8139150.0
55.63964,37.85222,42.0,9727060.0
55.63964,37.85222,42.0,10135760.0
55.63964,37.85222,13.0,5828880.0
55.63964,37.85222,14.0,5650080.0
55.63964,37.85222,14.0,5936160.0
